Nume,Pret vanzare (cu promotie),Descriere,Stoc numeric,Link produs,Imagine (principala),Categorie,Brand
Rochie Marisa aurie,612.5,"Rochia marisa aurie emana feminitate si rafinament. textura fina din licra cu aplicatii delicate ofera o stralucire subtila, perfect echilibrata de croiala clasica si drapajul lateral ce pune talia în evidenta. este o piesa eleganta, cu o linie fluida, ideala pentru seri de gala sau evenimente festive.  detalii produs:      material: licra cu aplicatii discrete, usor elastica      drapaj lateral ce accentueaza talia      croiala conica, midi      mâneci lungi, închidere la spate cu fermoar ascun",1,https://ejolie.ro/product/rochie-marisa-bordo-12341,https://ejolie.ro/continut/produse/12341/1000/rochie-marisa-aurie_101947.webp,Rochii de ocazie,Trendya
Rochie Savine bej,739.0,"Eleganta sculpturala într-o interpretare moderna a feminitatii.  rochia savine îmbina rafinamentul clasic cu o nota contemporana de minimalism elegant. realizata dintr-un material fin, cu textura satinat-mata, rochia se remarca prin croiala ampla, perfect echilibrata de talia marcata cu o centura ton pe ton.  detaliul floral aplicat pe bust adauga o nota couture, subtila si sofisticata, în timp ce mânecile largi si linia fluida a fustei ofera lejeritate si gratie fiecarui pas.  detalii produs:  ",1,https://ejolie.ro/product/rochie-savine-verde-12340,https://ejolie.ro/continut/produse/12340/1000/rochie-savine-bej_101945.webp,Rochii de ocazie,Ejolie
Rochie Marisa bordo,612.5,"Rochia marisa visinie este un omagiu adus feminitatii rafinate. realizata dintr-o licra moale si elastica, cu aplicatii fine ce ofera un luciu discret, rochia contureaza elegant linia corpului. drapajul lateral creeaza o silueta sculptata, iar fanta subtila pe picior adauga o nota seducatoare.  detalii produs:      material: licra cu aplicatii fine si elasticitate confortabila      drapaj lateral elegant      croiala midi, cambrata      mâneci lungi si fermoar ascuns la spate      slit frontal  ",1,https://ejolie.ro/product/rochie-marisa-verde-12339,https://ejolie.ro/continut/produse/12339/1000/rochie-marisa-bordo_101943.webp,Rochii de ocazie,Trendya
Rochie Florence bordo,662.5,"Rochia florence visiniu este expresia senzualitatii sofisticate. realizata dintr-un material licra elastic cu finisaj lucios si detalii fine aplicate, îmbratiseaza linia corpului, oferind un efect sculptural. drapajul frontal si croiala alungita creeaza o silueta eleganta si încrezatoare.  detalii produs:      material elastic tip licra cu aplicatii discrete      drapaj lateral în zona taliei      mâneci lungi, cu detaliu de pene fine      spate cu slit elegant      croiala mulata si fluida     ",1,https://ejolie.ro/product/rochie-florence-verde-12338,https://ejolie.ro/continut/produse/12338/1000/rochie-florence-bordo_101940.webp,Rochii de ocazie,Trendya
Rochie Marisa verde,612.5,"Rochia marisa verde smarald îmbina farmecul luxos cu rafinamentul modern. materialul din licra elastica cu aplicatii fine ofera o stralucire subtila si o textura placuta, în timp ce drapajul lateral subliniaza talia si creeaza o linie eleganta. nuanta intensa de verde adauga profunzime si eleganta tinutei.  detalii produs:      material: licra fina, cu aplicatii subtile si elasticitate usoara      drapaj lateral elegant si croiala conica      slit frontal rafinat      mâneci lungi, umeri contura",1,https://ejolie.ro/product/rochie-marisa-verde,https://ejolie.ro/continut/produse/12336/1000/rochie-marisa-verde_101934.webp,Rochii de ocazie,Trendya
Rochie Alma verde,625.0,"O aparitie vibranta si plina de rafinament.  rochia alma în nuanta verde smarald este expresia perfecta a elegantei moderne. Èesatura satinat-lucioasa se îmbina armonios cu topul decorat cu paiete, creând un joc subtil de texturi si reflexii. floarea ampla din talie accentueaza zona mediana, iar fusta lejera, cu cadere fluida, ofera un aer romantic si gratios.detalii produs:      material satinat, tafta usor elastica, cu reflexii sofisticate      bust decorat cu paiete ton sur ton      mâneci v",1,https://ejolie.ro/product/rochie-alma-neagra-12335,https://ejolie.ro/continut/produse/12335/1000/rochie-alma-verde_101930.webp,Rochii de ocazie,Trendya
Rochie Savine verde,739.0,"Eleganta sculpturala într-o interpretare moderna a feminitatii.  rochia savine îmbina rafinamentul clasic cu o nota contemporana de minimalism elegant. realizata dintr-un material fin, cu textura satinat-mata, rochia se remarca prin croiala ampla, perfect echilibrata de talia marcata cu o centura ton pe ton.  detaliul floral aplicat pe bust adauga o nota couture, subtila si sofisticata, în timp ce mânecile largi si linia fluida a fustei ofera lejeritate si gratie fiecarui pas.  detalii produs:  ",1,https://ejolie.ro/product/rochie-savine-neagra-12334,https://ejolie.ro/continut/produse/12334/1000/rochie-savine-verde_101928.webp,Rochii de ocazie,Ejolie
Rochie Isaline verde smarald,712.5,"O expresie vibranta a elegantei si feminitatii moderne.  rochia isaline în nuanta verde smarald atrage toate privirile prin intensitatea culorii si luciul sofisticat al materialului. mânecele vaporoase si funda ampla adauga o nota romantica, în timp ce croiala midi, usor evazata, creeaza o silueta eleganta si gratioasa. este alegerea ideala pentru o aparitie plina de încredere la evenimente, cocktailuri sau seri speciale.  detalii produs:      Èesatura satinat-structurata, cu luciu fin      mân",1,https://ejolie.ro/product/rochie-isaline-bleu-12333,https://ejolie.ro/continut/produse/12333/1000/rochie-isaline-verde-smarald_101926.webp,Rochii de ocazie,Trendya
Rochie Saphira verde,512.5,"Rochia saphira aduce în prim-plan eleganta rafinata si feminitatea moderna. realizata din satin fin, cu o textura usor lucioasa, aceasta creatie atrage prin croiala sa ampla si detaliile sofisticate: mâneci din tull punctat, de o delicatete aparte, si o floare statement în talie, ce defineste silueta. decolteul în v completeaza armonios linia fluida a rochiei, oferind un plus de gratie si echilibru.  perfecta pentru evenimente speciale, seri elegante sau ocazii festive, saphira este o alegere ca",1,https://ejolie.ro/product/rochie-saphira-verde,https://ejolie.ro/continut/produse/12332/1000/rochie-saphira-verde_101924.webp,Rochii de ocazie,Trendya
Rochie Alma neagra,625.0,"Eleganta clasica reinterpretata cu accente moderne.  versiunea negru intens a rochiei alma îmbina rafinamentul atemporal cu stralucirea discreta a paietelor, pentru o aparitie memorabila. textura satinata a fustei ofera un luciu nobil, în timp ce floarea din talie devine elementul central al designului. decolteul în v si croiala midi alungesc silueta, conferind un aer elegant si feminin.  detalii produs:      fusta din tafta cu luciu mat si cadere ampla      bust din tull brodat cu paiete fine  ",1,https://ejolie.ro/product/rochie-alma-albastru-regal-12331,https://ejolie.ro/continut/produse/12331/1000/rochie-alma-neagra_101922.webp,Rochii de ocazie,Trendya
Rochie Sabina neagra,589.0,"Rochia sabina cucereste prin rafinament si o eleganta cu accente moderne. realizata din satin fluid, cu o textura fina si o nuanta luxurianta de negru, aceasta piesa este simbolul feminitatii sofisticate. linia midi, croiala usor lejera si detaliul delicat de la guler creeaza o silueta eleganta, completata de mânecile ample si accesoriul metalic din talie care adauga un plus de stil contemporan.  detalii produs:      croiala midi, lejera, cu deschidere laterala discreta      mâneci lungi, usor e",1,https://ejolie.ro/product/rochie-sabina-verde-12330,https://ejolie.ro/continut/produse/12330/1000/rochie-sabina-neagra_101920.webp,Rochii de ocazie,Ejolie
Rochie Mirelle neagra,559.0,"Rochia mirelle impresioneaza prin simplitatea sofisticata si rafinamentul detaliilor. croiala sa minimalista, cu drapaj lateral subtil si deschidere eleganta pe picior, contureaza o silueta feminina si gratioasa. realizata dintr-un material elastic, cu textura fina si cadere impecabila, aceasta rochie devine o alegere ideala pentru serile rafinate sau evenimentele unde eleganta vorbeste de la sine.  detalii produs:      croiala midi, cu lejera accentuare a taliei      drapaj lateral care pune în",1,https://ejolie.ro/product/rochie-mirelle-maro-12329,https://ejolie.ro/continut/produse/12329/1000/rochie-mirelle-neagra_101918.webp,Rochii de Zi,Ejolie
Rochie Fiorelle neagra,543.4,"O declaratie de putere feminina si rafinament contemporan.  rochia fiorelle impresioneaza prin tonul clasic si linia eleganta a croielii. este o piesa ce îmbina senzualitatea discreta cu rafinamentul sofisticat, perfecta pentru femeia care iubeste sa iasa în evidenta prin eleganta si atitudine.  detaliul drapat în zona bustului contureaza frumos silueta, iar despicatura subtila de pe picior adauga o nota de feminitate moderna. cureaua subtire accentueaza talia si aduce echilibru întregii compozi",1,https://ejolie.ro/product/rochie-fiorelle-rosie-12328,https://ejolie.ro/continut/produse/12328/1000/rochie-fiorelle-neagra_101916.webp,Rochii de Zi,Ejolie
Rochie Tesia bordo,611.0,"Rochia tesia îmbina rafinamentul clasic cu minimalismul contemporan. croiala dreapta, de inspiratie office-chic, este pusa în valoare de talia accentuata printr-un detaliu metalic elegant, care adauga un plus de stil si feminitate. decolteul în v alungeste silueta, iar lungimea pâna la genunchi confera un echilibru perfect între eleganta si confort.  ideala pentru zilele în care vrei sa emani încredere si rafinament, tesia este alegerea perfecta pentru birou, întâlniri de afaceri sau evenimente ",1,https://ejolie.ro/product/rochie-tesia-bordo,https://ejolie.ro/continut/produse/12327/1000/rochie-tesia-bordo_101914.webp,Rochii de Zi,Ejolie
Rochie Dianne bordo,529.0,"Rafinament în simplitate. eleganta fara efort.  rochia dianne impresioneaza prin croiala sa curata si detaliile sofisticate care îi ofera o nota discreta de lux. talia marcata de cordonul amplu creeaza o silueta eleganta, în timp ce mânecile trei sferturi si gulerul fin cu deschidere subtila adauga o nota moderna.  aplicatiile aurii de pe buzunare ofera un accent rafinat, transformând aceasta rochie într-o piesa statement potrivita atât pentru birou, cât si pentru evenimentele de zi cu zi unde e",1,https://ejolie.ro/product/rochie-dianne-bej-12326,https://ejolie.ro/continut/produse/12326/1000/rochie-dianne-bordo_101912.webp,Rochii de Zi,Ejolie
Rochie Velina bordo,619.0,"Rochia velina redefineste eleganta clasica prin catifeaua fina care se muleaza delicat pe forme si prin detaliile sculpturale ce emana rafinament. textura bogata a materialului creeaza reflexii subtile, iar croiala midi, cu talia marcata de o centura accesorizata cu o catarama-bijuterie, subliniaza silueta într-un mod sofisticat. decolteul amplu tip barcuta si umerii usor structurati adauga o nota couture, transformând aceasta piesa într-o alegere ideala pentru serile rafinate sau evenimentele d",1,https://ejolie.ro/product/rochie-velina-bordo,https://ejolie.ro/continut/produse/12325/1000/rochie-velina-bordo_101910.webp,Rochii de ocazie,Ejolie
Rochie Selma bordo,693.0,"Eleganta moderna într-o nuanta calda si sofisticata.  rochia selma cucereste prin linia sa minimalista si detaliile atent plasate, care pun în valoare silueta. realizata dintr-un material fin, cu o cadere fluida, aceasta piesa îmbina rafinamentul croielii clasice cu accente contemporane &ndash; precum drapajul lateral si accesoriul metalic elegant din talie. deschiderea subtila pe picior adauga o nota senzuala, fara a compromite eleganta.  detalii produs:      croiala midi, cu o linie usor conic",1,https://ejolie.ro/product/rochie-selma-bordo,https://ejolie.ro/continut/produse/12324/1000/rochie-selma-bordo_101908.webp,Rochii de ocazie,Ejolie
Rochie Isaline albastru regal,712.5,"Eleganta atemporala cu o nota de mister si rafinament.  rochia isaline în nuanta albastru regal este o aparitie memorabila, ce emana încredere si distinctie. materialul satinat cu reflexii subtile capteaza lumina la fiecare pas, în timp ce mânecile vaporoase din organza ofera un aer romantic si sofisticat. funda ampla la gât completeaza designul cu o nota de gratie clasica, transformând rochia într-o alegere ideala pentru seri elegante, receptii sau evenimente festive.  detalii produs:      mate",1,https://ejolie.ro/product/rochie-isaline-bleu-12323,https://ejolie.ro/continut/produse/12323/1000/rochie-isaline-albastru-regal_101906.webp,Rochii de ocazie,Trendya
Rochie Alma albastru regal,625.0,"Stralucire rafinata si eleganta atemporala.  rochia alma în nuanta albastru regal cucereste prin contrastul perfect între textura satinat-lucioasa a fustei si delicatetea paietelor fine din partea superioara. croiala în linie a, cu talie marcata si decolteu în v, pune în valoare silueta, în timp ce floarea supradimensionata din talie adauga o nota couture, spectaculoasa. este alegerea ideala pentru evenimente de seara, petreceri sau ocazii speciale.  detalii produs:      material satinat cu text",1,https://ejolie.ro/product/rochie-alma-albastru-regal,https://ejolie.ro/continut/produse/12322/1000/rochie-alma-albastru-regal_101904.webp,Rochii de ocazie,Trendya
Rochie Isaline bleu,712.5,"O poveste de delicatete si gratie în tonuri luminoase.  versiunea bleu ciel a rochiei isaline surprinde prin finetea si aerul sau romantic. nuanta pastelata si textura usor perlata a materialului creeaza un efect luminos, ideal pentru evenimente de zi sau ocazii speciale. mânecele diafane din organza si funda eleganta la gât completeaza o silueta fluida si sofisticata, potrivita unei aparitii feminine si rafinate.  detalii produs:      textura usor lucioasa, cu aspect perlat      mâneci transpar",1,https://ejolie.ro/product/rochie-isaline-bleu,https://ejolie.ro/continut/produse/12321/1000/rochie-isaline-bleu_101902.webp,Rochii de ocazie,Trendya
Rochie Elara bleu,562.5,"Rochia elara bleu te cucereste prin simplitatea sofisticata si fluiditatea impecabila a satinului. croiala lejera, gulerul înalt si tonul proaspat de bleu transforma aceasta piesa într-un simbol al elegantei fara efort. perfect echilibrata între rafinament si naturalete, elara bleu aduce o nota de prospetime oricarei aparitii.  detalii produs:      material: satin fin cu luciu discret      croi drept, cu linie usor evazata      guler înalt tip col roul&eacute;      închidere discreta la spate cu",1,https://ejolie.ro/product/rochie-elara-verde-12320,https://ejolie.ro/continut/produse/12320/1000/rochie-elara-bleu_101900.webp,Rochii de seara,Trendya
Compleu Lyris maro,637.5,"Compleu lyris &ndash; putere si fluiditate urbanaun duo contemporan, definit de un sacou-vesta cu rever drapat si pantaloni palazzo ce cad impecabil. lyris reuneste croiul arhitectural cu lejeritatea unei tesaturi cu stretch fin, într-o nuanta clasica &ndash; perfecta de la birou la evenimente after-hours.detalii care fac diferentasacou fara mâneci cu rever amplu, tip sal, ce se asaza natural pe busttalia marcata prin croi înclinat si pense conturate &ndash; silueta alungita instantbuzunare cu c",1,https://ejolie.ro/product/compleu-lyris-negru-12319,https://ejolie.ro/continut/produse/12319/1000/compleu-lyris-maro_101897.webp,Compleuri,Trendya
Compleu Rhea maro,598.42,"Eleganta si arhitectura vestimentara într-un deux-pi&egrave;ces ce impresioneaza prin liniile curate, tonul clasic si versatilitatea de la birou pâna la cocktail.detalii care fac diferentaÈesatura barbie stretch  &ndash; material opac din fibre de poliester, usor elastic, care nu se sifoneaza usor si urmareste forma corpului.top cu guler sal drapat &ndash; cade lejer pe bust, conturând zona decolteului fara a fi rigid.mâneci cap-sleeve &ndash; acopera discret umerii si ofera libertate de miscar",1,https://ejolie.ro/product/compleu-rhea-negru-12318,https://ejolie.ro/continut/produse/12318/1000/compleu-rhea-maro_101891.webp,Compleuri,Trendya
Fusta Vasia maro,405.0,"Esenta feminitatii moderne &ndash; eleganta, fluida si plina de miscare.  fusta vasia cucereste prin linia sa ampla si rafinamentul discret al croielii. cu talia înalta si pliurile fine care cad lejer, aceasta piesa contureaza o silueta gratioasa si sofisticata. deschiderea laterala adauga o nota subtila de senzualitate, pastrând însa echilibrul perfect între eleganta si confort.  realizata dintr-un material plin, usor elastic, cu o cadere impecabila, vasia se asaza frumos pe corp si creeaza ace",1,https://ejolie.ro/product/fusta-vasia-neagra-12317,https://ejolie.ro/continut/produse/12317/1000/fusta-vasia-maro_101889.webp,Fuste,Trendya
Bluza Naty bleu,297.0,"Stralucire subtila, feminitate clasica si detalii rafinate.  bluza naty este o piesa care îmbina eleganta atemporala cu o nota de rafinament modern. confectionata dintr-un satin fin cu o textura matasoasa, bluzei îi sunt definite liniile de pliseuri frontale delicate, mascate cu gratie de funda ampla ce se leaga la gât, conferindu-i un aer sofisticat si romantic. mânecele usor bufante si mansetele late, închise cu nasturi îmbracati, completeaza armonios designul elegant.  detalii produs:      ma",1,https://ejolie.ro/product/bluza-naty-verde-12316,https://ejolie.ro/continut/produse/12316/1000/bluza-naty-bleu_101886.webp,Bluze | Camasi,Trendya
Rochie Adara maro,529.0,"Rochia adara îmbina eleganta clasica cu o atitudine contemporana. croiala sa în linie a, usor evazata, flateaza orice silueta si ofera lejeritate în miscare, în timp ce decolteul în v si deschiderea frontala subtila adauga o nota moderna si feminina.  culoarea clasica inspira încredere si rafinament, fiind perfecta pentru femeia care îsi doreste sa fie eleganta, dar si confortabila în fiecare zi.  detalii produs:      material: stofa usoara, plina, cu textura fina  compozitie: 88% poliester, 12%",1,https://ejolie.ro/product/rochie-adara-neagra-12315,https://ejolie.ro/continut/produse/12315/1000/rochie-adara-maro_101883.webp,Rochii de Zi,Ejolie
Rochie Vivienne maro,642.0,"Eleganta clasica. atitudine moderna.  rochia vivienne este un omagiu adus feminitatii rafinate si stilului atemporal. cu o linie inspirata din estetica sacoului, aceasta piesa îmbina perfectiunea croielii office cu detalii subtile care îi ofera un aer chic si sofisticat.  talia este frumos accentuata de cureaua contrastanta, iar croiala cambrata urmeaza linia corpului într-un mod elegant, fara a compromite confortul. materialul plin si fin se asaza impecabil, facând din aceasta rochie o alegere ",1,https://ejolie.ro/product/rochie-vivienne-neagra-12314,https://ejolie.ro/continut/produse/12314/1000/rochie-vivienne-maro_101881.webp,Rochii de Zi,Ejolie
Rochie Mirelle maro,559.0,"Rochia mirelle impresioneaza prin simplitatea sofisticata si rafinamentul detaliilor. croiala sa minimalista, cu drapaj lateral subtil si deschidere eleganta pe picior, contureaza o silueta feminina si gratioasa. realizata dintr-un material elastic, cu textura fina si cadere impecabila, aceasta rochie devine o alegere ideala pentru serile rafinate sau evenimentele unde eleganta vorbeste de la sine.  detalii produs:      croiala midi, cu lejera accentuare a taliei      drapaj lateral care pune în",1,https://ejolie.ro/product/rochie-mirelle-turcoaz-12313,https://ejolie.ro/continut/produse/12313/1000/rochie-mirelle-maro_101877.webp,Rochii de Zi,Ejolie
Rochie Savine maro,739.0,"Eleganta sculpturala într-o interpretare moderna a feminitatii.  rochia savine îmbina rafinamentul clasic cu o nota contemporana de minimalism elegant. realizata dintr-un material fin, cu textura satinat-mata, rochia se remarca prin croiala ampla, perfect echilibrata de talia marcata cu o centura ton pe ton.  detaliul floral aplicat pe bust adauga o nota couture, subtila si sofisticata, în timp ce mânecile largi si linia fluida a fustei ofera lejeritate si gratie fiecarui pas.  detalii produs:  ",1,https://ejolie.ro/product/rochie-savine-neagra-12310,https://ejolie.ro/continut/produse/12310/1000/rochie-savine-maro_101871.webp,Rochii de ocazie,Ejolie
Rochie Althea maro,739.0,"Gratie fluida. eleganta care curge firesc.  rochia althea este o expresie a rafinamentului subtil si a elegantei fara efort. realizata dintr-un material fin, cu luciu discret, aceasta rochie lunga mângâie silueta într-o miscare fluida si naturala.  decolteul rotund cu detaliu delicat adauga o nota de feminitate, iar talia evidentiata de cordon subliniaza linia corpului într-un mod elegant. mânecele lejere, de lungime medie, si fusta ampla ofera libertate si gratie fiecarui pas.  detalii produs: ",1,https://ejolie.ro/product/rochie-althea-neagra-12309,https://ejolie.ro/continut/produse/12309/1000/rochie-althea-maro_101869.webp,Rochii de ocazie,Ejolie
Rochie Tess cu imprimeu maro,429.0,"Eleganta boema, într-o combinatie subtila de rafinament si confort.  rochia tess îmbina farmecul imprimeului paisley cu o croiala lejera, ce urmeaza linia naturala a corpului. cu o textura usoara si fluida, aceasta rochie ofera libertate de miscare si o nota sofisticata prin detaliile fine: volanul discret la baza, mânecile lungi cu mansete delicate si gulerul cu funda.  este o piesa care emana feminitate, dar într-un mod relaxat si natural - perfecta pentru zilele în care vrei sa te simti elega",1,https://ejolie.ro/product/rochie-tess-cu-imprimeu-maro,https://ejolie.ro/continut/produse/12308/1000/rochie-tess-cu-imprimeu-maro_101867.webp,Rochii de Zi,Ejolie
Compleu Kaia albastru,715.5,"Feminitate rafinata, în tonuri senine de albastru.compleul kaia surprinde prin eleganta liniilor curate si armonia perfecta dintre sacoul cambrat si fusta midi ampla. este o reinterpretare moderna a stilului clasic, creata pentru femeia care îmbina naturaletea cu rafinamentul si prezenta sofisticata.  sacoul pune în valoare talia, oferind o silueta eleganta si echilibrata, în timp ce fusta fluida adauga lejeritate si gratie fiecarui pas. nuanta de albastru intens inspira calm, siguranta si femin",1,https://ejolie.ro/product/compleu-azure-albastru-12307,https://ejolie.ro/continut/produse/12307/1000/compleu-kaia-albastru_101864.webp,Compleuri,Trendya
Compleu Azure albastru,688.5,"Eleganta moderna, într-o nuanta care inspira încredere si rafinament.  compleul azure este alegerea perfecta pentru femeia care apreciaza liniile curate si eleganta discreta. croiala structurata a sacoului pune în valoare talia, în timp ce pantalonii cu linie dreapta alungesc silueta si adauga o nota de finete contemporana.  textura fina a materialului si nuanta vibranta de albastru creeaza un echilibru perfect între profesionalism si stil personal - un look impecabil, de la birou pâna la evenim",1,https://ejolie.ro/product/compleu-azure-albastru,https://ejolie.ro/continut/produse/12306/1000/compleu-azure-albastru_101862.webp,Compleuri,Trendya
Compleu Rhea albastru,598.42,"Eleganta si arhitectura vestimentara într-un deux-pi&egrave;ces ce impresioneaza prin liniile curate, tonul clasic si versatilitatea de la birou pâna la cocktail.detalii care fac diferentaÈesatura barbie stretch  &ndash; material opac din fibre de poliester, usor elastic, care nu se sifoneaza usor si urmareste forma corpului.top cu guler sal drapat &ndash; cade lejer pe bust, conturând zona decolteului fara a fi rigid.mâneci cap-sleeve &ndash; acopera discret umerii si ofera libertate de miscar",1,https://ejolie.ro/product/compleu-rhea-negru-12305,https://ejolie.ro/continut/produse/12305/1000/compleu-rhea-albastru_101859.webp,Compleuri,Trendya
Compleu Lyris albastru,637.5,"Compleu lyris &ndash; putere si fluiditate urbanaun duo contemporan, definit de un sacou-vesta cu rever drapat si pantaloni palazzo ce cad impecabil. lyris reuneste croiul arhitectural cu lejeritatea unei tesaturi cu stretch fin, într-o nuanta clasica &ndash; perfecta de la birou la evenimente after-hours.detalii care fac diferentasacou fara mâneci cu rever amplu, tip sal, ce se asaza natural pe busttalia marcata prin croi înclinat si pense conturate &ndash; silueta alungita instantbuzunare cu c",1,https://ejolie.ro/product/compleu-lyris-rosu-12304,https://ejolie.ro/continut/produse/12304/1000/compleu-lyris-albastru_101856.webp,Compleuri,Trendya
